Date,Giá VNIndex,Khối lượng,Change %,
3/15/2022,"1,452.74",675.63K,0.45%,
3/14/2022,"1,446.25",858.57K,-1.38%,
3/11/2022,"1,466.54",878.19K,-0.85%,
3/10/2022,"1,479.08",649.94K,0.36%,
3/9/2022,"1,473.74",930.30K,0.00%,
3/8/2022,"1,473.71",1.04M,-1.69%,
3/7/2022,"1,499.05",981.72K,-0.42%,
3/4/2022,"1,505.33",928.92K,0.02%,
3/3/2022,"1,505.00",929.21K,1.31%,
3/2/2022,"1,485.52",941.55K,-0.88%,
3/1/2022,"1,498.78",842.43K,0.58%,
2/28/2022,"1,490.13",729.79K,-0.58%,
2/25/2022,"1,498.89",768.01K,0.27%,
2/24/2022,"1,494.85",1.16M,-1.15%,
2/23/2022,"1,512.30",694.65K,0.59%,
2/22/2022,"1,503.47",908.05K,-0.49%,
2/21/2022,"1,510.84",791.92K,0.40%,
2/18/2022,"1,504.84",697.55K,-0.21%,
2/17/2022,"1,507.99",615.79K,1.06%,
2/16/2022,"1,492.10",702.52K,-0.04%,
2/15/2022,"1,492.75",606.42K,1.41%,
2/14/2022,"1,471.96",810.72K,-1.98%,
2/11/2022,"1,501.71",636.28K,-0.34%,
2/10/2022,"1,506.79",680.25K,0.09%,
2/9/2022,"1,505.38",794.74K,0.29%,
2/8/2022,"1,500.99",734.76K,0.22%,
2/7/2022,"1,497.66",578.17K,1.26%,
1/28/2022,"1,478.96",702.68K,0.56%,
1/27/2022,"1,470.76",564.60K,-0.73%,
1/26/2022,"1,481.58",813.18K,0.14%,
1/25/2022,"1,479.58",751.39K,2.77%,
1/24/2022,"1,439.71",828.13K,-2.25%,
1/21/2022,"1,472.89",811.35K,0.52%,
1/20/2022,"1,465.30",785.76K,1.56%,
1/19/2022,"1,442.79",637.63K,0.27%,
1/18/2022,"1,438.94",739.29K,-0.96%,
1/17/2022,"1,452.84",987.10K,-2.89%,
1/14/2022,"1,496.02",785.61K,0.00%,
1/13/2022,"1,496.05",995.82K,-0.96%,
1/12/2022,"1,510.51",1.13M,1.22%,
1/11/2022,"1,492.31",1.25M,-0.76%,
1/10/2022,"1,503.71",1.38M,-1.62%,
1/7/2022,"1,528.48",1.03M,-0.01%,
1/6/2022,"1,528.57",1.13M,0.40%,
1/5/2022,"1,522.50",1.06M,-0.20%,
1/4/2022,"1,525.58",891.30K,1.82%,
